DATE,WPSFD4111
1999-01-01,136.3
1999-02-01,134.7
1999-03-01,135.3
1999-04-01,133.9
1999-05-01,134.5
1999-06-01,135.0
1999-07-01,134.3
1999-08-01,135.2
1999-09-01,135.9
1999-10-01,135.4
1999-11-01,135.4
1999-12-01,135.8
2000-01-01,135.5
2000-02-01,136.4
2000-03-01,136.4
2000-04-01,137.5
2000-05-01,138.0
2000-06-01,137.4
2000-07-01,137.2
2000-08-01,136.6
2000-09-01,137.0
2000-10-01,137.7
2000-11-01,138.4
2000-12-01,138.3
2001-01-01,139.0
2001-02-01,140.3
2001-03-01,141.3
2001-04-01,142.0
2001-05-01,142.0
2001-06-01,141.7
2001-07-01,141.1
2001-08-01,142.1
2001-09-01,142.5
2001-10-01,141.9
2001-11-01,141.0
2001-12-01,140.8
2002-01-01,141.3
2002-02-01,142.5
2002-03-01,143.5
2002-04-01,139.3
2002-05-01,139.2
2002-06-01,139.7
2002-07-01,139.7
2002-08-01,139.1
2002-09-01,138.5
2002-10-01,139.0
2002-11-01,139.3
2002-12-01,139.7
2003-01-01,142.2
2003-02-01,142.5
2003-03-01,142.9
2003-04-01,144.2
2003-05-01,144.4
2003-06-01,145.1
2003-07-01,144.7
2003-08-01,146.1
2003-09-01,147.8
2003-10-01,150.9
2003-11-01,150.1
2003-12-01,150.4
2004-01-01,148.4
2004-02-01,148.7
2004-03-01,150.8
2004-04-01,153.2
2004-05-01,155.3
2004-06-01,154.8
2004-07-01,152.0
2004-08-01,151.9
2004-09-01,152.3
2004-10-01,154.9
2004-11-01,155.0
2004-12-01,155.1
2005-01-01,154.6
2005-02-01,155.7
2005-03-01,156.6
2005-04-01,156.8
2005-05-01,156.4
2005-06-01,155.2
2005-07-01,154.1
2005-08-01,153.7
2005-09-01,155.6
2005-10-01,156.0
2005-11-01,156.6
2005-12-01,157.7
2006-01-01,157.4
2006-02-01,154.1
2006-03-01,154.6
2006-04-01,155.3
2006-05-01,154.0
2006-06-01,155.9
2006-07-01,156.1
2006-08-01,158.1
2006-09-01,158.9
2006-10-01,158.7
2006-11-01,158.3
2006-12-01,160.1
2007-01-01,161.4
2007-02-01,164.2
2007-03-01,166.2
2007-04-01,167.3
2007-05-01,166.1
2007-06-01,165.8
2007-07-01,166.4
2007-08-01,166.4
2007-09-01,168.2
2007-10-01,170.6
2007-11-01,170.5
2007-12-01,172.5
2008-01-01,174.9
2008-02-01,174.4
2008-03-01,176.3
2008-04-01,176.5
2008-05-01,177.9
2008-06-01,179.9
2008-07-01,181.3
2008-08-01,181.8
2008-09-01,181.4
2008-10-01,181.6
2008-11-01,180.9
2008-12-01,178.5
2009-01-01,177.4
2009-02-01,175.1
2009-03-01,173.8
2009-04-01,176.3
2009-05-01,174.2
2009-06-01,175.7
2009-07-01,173.8
2009-08-01,173.9
2009-09-01,173.7
2009-10-01,175.9
2009-11-01,176.9
2009-12-01,179.3
2010-01-01,180.0
2010-02-01,181.2
2010-03-01,185.6
2010-04-01,184.3
2010-05-01,184.0
2010-06-01,179.1
2010-07-01,180.7
2010-08-01,180.0
2010-09-01,181.5
2010-10-01,182.4
2010-11-01,184.1
2010-12-01,185.8
2011-01-01,187.2
2011-02-01,193.9
2011-03-01,193.5
2011-04-01,193.4
2011-05-01,191.5
2011-06-01,192.3
2011-07-01,193.7
2011-08-01,195.2
2011-09-01,196.4
2011-10-01,195.8
2011-11-01,197.5
2011-12-01,196.7
2012-01-01,197.3
2012-02-01,197.1
2012-03-01,197.9
2012-04-01,197.6
2012-05-01,197.5
2012-06-01,198.0
2012-07-01,198.2
2012-08-01,199.6
2012-09-01,200.2
2012-10-01,200.7
2012-11-01,202.7
2012-12-01,201.7
2013-01-01,204.3
2013-02-01,202.6
2013-03-01,204.4
2013-04-01,202.1
2013-05-01,202.9
2013-06-01,202.4
2013-07-01,202.7
2013-08-01,203.7
2013-09-01,202.9
2013-10-01,204.2
2013-11-01,204.6
2013-12-01,204.6
2014-01-01,206.0
2014-02-01,207.0
2014-03-01,209.4
2014-04-01,213.6
2014-05-01,211.8
2014-06-01,212.5
2014-07-01,214.4
2014-08-01,213.9
2014-09-01,214.0
2014-10-01,216.0
2014-11-01,215.6
2014-12-01,216.0
2015-01-01,214.6
2015-02-01,211.5
2015-03-01,210.0
2015-04-01,208.5
2015-05-01,209.8
2015-06-01,210.5
2015-07-01,208.9
2015-08-01,210.2
2015-09-01,209.7
2015-10-01,208.0
2015-11-01,208.5
2015-12-01,206.9
2016-01-01,208.6
2016-02-01,208.6
2016-03-01,205.7
2016-04-01,204.9
2016-05-01,204.4
2016-06-01,204.3
2016-07-01,204.8
2016-08-01,202.5
2016-09-01,204.3
2016-10-01,202.6
2016-11-01,201.7
2016-12-01,203.3
2017-01-01,203.7
2017-02-01,205.0
2017-03-01,207.0
2017-04-01,209.7
2017-05-01,207.0
2017-06-01,207.7
2017-07-01,207.8
2017-08-01,206.9
2017-09-01,207.1
2017-10-01,207.8
2017-11-01,208.2
2017-12-01,208.0
2018-01-01,207.6
2018-02-01,206.0
2018-03-01,209.9
2018-04-01,206.5
2018-05-01,207.3
2018-06-01,205.0
2018-07-01,206.4
2018-08-01,204.9
2018-09-01,205.1
2018-10-01,206.7
2018-11-01,209.5
2018-12-01,214.0
2019-01-01,210.7
2019-02-01,210.0
2019-03-01,211.2
2019-04-01,210.1
2019-05-01,210.1
2019-06-01,210.4
2019-07-01,211.0
2019-08-01,209.7
2019-09-01,210.6
2019-10-01,212.7
2019-11-01,216.3
2019-12-01,216.2
